//****************************************************
//  LEVEL 4 
//****************************************************

map_file, 111 
back_color, 0, 0, 0
//screen_color, 95, 95, 95  
screen_color, 150, 160, 130
time, 3600
show_grid, 1
show_map, 1
show_legal_grid, 0
show_tracks, 0
hq, 65, 382
firing, 1
credits, 4000


//balancing factors
wavecountdivisor, 10
advancedfactor, 1.5
beginnerfactor, 1
creditmultiplier, 100
scoremultiplier, 50
upgrademultiplier1, 1.5
upgrademultiplier2, 2.5
upgrademultiplier3, 3.5
upgradecostmultiplier1, 0.75
upgradecostmultiplier2, 1.5
upgradecostmultiplier3, 3
repaircostmultiplier1, 0.50
repaircostmultiplier2, 1.0
repaircostmultiplier3, 1.5
damagebalanceupper, 1.1
damagebalancelower, 0.9

//define legal cells in map
legal, clear
legal, 1, 1, 31
legal, 2, 1, 31
legal, 3, 1, 31
legal, 4, 1, 31
legal, 5, 1, 25
legal, 6, 1, 25
legal, 7, 1, 25
legal, 8, 1, 26
legal, 9, 1, 28
legal, 10, 1, 29
legal, 11, 1, 30
legal, 12, 1, 31
legal, 13, 1, 31
legal, 14, 1, 31
legal, 15, 1, 3
legal, 16, 1, 2
legal, 17, 1, 3
legal, 18, 1, 3
legal, 19, 1, 3
legal, 20, 1, 3
legal, 21, 1, 3
legal, 15, 10, 22
legal, 16, 11, 20
legal, 17, 11, 19
legal, 18, 11, 19
legal, 19, 9, 16
legal, 20, 7, 23
legal, 21, 6, 7
legal, 21, 21, 9
legal, 5, 30, 2

//air
track, 0, 1062, 148, 30, 861, 437, 20, 479, 528, 10, 163, 490, 10, -33, 421, 10
track, 1, 795, -17, 30, 671, 347, 20, 421, 409, 10, 171, 372, 10, -30, 294, 10
track, 2, 47, -16, 30, 133, 284, 20, 467, 368, 10, 581, 318, 10, 587, 220, 10, 513, 83, 10, 434, -19, 10

//tank
track, 3, 903, -50, 20, 728, 182, 20, 908, 419, 10, 793, 594, 10, 419, 579, 10, 333, 430, 10, 120, 318, 10, -50, 276, 10
track, 4, 631, -8, 20, 713, 365, 20, 560, 446, 10, -25, 211, 10

//sea
track, 5, 106, 758, 10, 132, 531, 10, 199, 492, 10, 271, 504, 10, 261, 557, 10, 146, 595, 10, 141, 757, 10


//wave, timeToStart(seconds), trackIndex, objectID, quantity, spawnInterval (seconds)
wave, 1, 5, 7, 5, 6
wave, 10, 3, 13, 5, 3
wave, 22, 0, 11, 5, 3
wave, 30, 4, 14, 5, 3
wave, 42, 1, 12, 5, 3
wave, 58, 2, 15, 5, 5
wave, 85, 6, 12, 8, 2
wave, 98, 5, 7, 3, 6
wave, 116, 4, 13, 5, 5
wave, 135, 0, 11, 8, 3
wave, 155, 3, 14, 5, 6
wave, 172, 1, 12, 4, 3
wave, 184, 2, 11, 5, 1.5
wave, 191.5, 5, 7, 5, 5
wave, 215, 4, 13, 5, 4
wave, 228, 3, 14, 5, 5
wave, 238, 0, 11, 5, 1
wave, 243, 1, 12, 6, 2
wave, 255, 2, 11, 8, 2
wave, 270, 4, 15, 5, 5
wave, 295, 3, 14, 6, 5
wave, 320, 1, 11, 7, 3
wave, 341, 5, 8, 1, 10
wave, 351, 2, 11, 4, 3
wave, 363, 1, 12, 4, 2
wave, 371, 0, 11, 4, 1
wave, 405, 3, 13, 5, 4
wave, 425, 4, 14, 6, 5
wave, 450, 5, 7, 8, 5
wave, 460, 1, 11, 3, 1
wave, 463, 0, 12, 3, 2
wave, 469, 2, 11, 3, 1
wave, 472, 3, 15, 5, 5
wave, 497, 4, 14, 5, 5
wave, 525, 5, 8, 2, 11
wave, 535, 0, 12, 5, 2
wave, 545, 3, 13, 7, 5
wave, 565, 2, 12, 8, 2
wave, 581, 4, 15, 5, 5
wave, 598, 3, 14, 5, 5
wave, 610, 5, 7, 5, 6
wave, 630, 4, 13, 7, 6
wave, 645, 3, 14, 5, 6
wave, 650, 0, 12, 5, 2
wave, 660, 1, 11, 6, 2
wave, 672, 2, 12, 7, 1
wave, 679, 4, 14, 7, 6
wave, 695, 3, 13, 6, 7
wave, 710, 5, 8, 1, 8
wave, 718, 0, 11, 15, 2
